Data Series,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 
      Water,100,103.508,96.944,95.588,92.53,81.779,81.087,80.586,81.258,80.253,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Soft Drinks,100,98.368,92.293,86.082,85.037,80.481,77.757,77.545,76.22,76.96,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Non-Alcoholic Beverages Nec,100,101.83,100.568,92.099,93.915,86.383,84.09,83.749,83.259,84.183,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Clothing & Footwear,100,100.576,98.194,95.449,100.624,104.343,105.145,103.649,103.02,102.795,102.729,103.541,103.193,101.655,101.483,100.888,100.011,98.543,97.884,97.157,97.02,96.848,96.316,95.88,95.528,96.414,98.339,99.699,98.83,98.282,96.876,94.712,93.459,91.245,89.665,88.897,87.293,84.414,84.093,86.062,88.296,88.657,88.706,88.327,86.761,85.165,82.26,80.729,79.552,79.009,80.063,72.708,62.41,61.289,59.67,59.364,58.122,57.795,57.681,56.717,56.021,55.7,55.882,56.151
    Clothing,100,100.445,99.128,96.184,101.351,104.867,106.04,104.891,104.59,103.677,104.021,105.221,104.866,103.26,102.934,102.226,100.474,98.968,98.678,97.492,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Garments,100,100.635,99.847,96.905,102.289,106.028,107.26,106.084,105.845,104.871,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Articles Of Clothing & Clothing Accessories,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Cleaning, Repair, Tailoring & Rental Of Clothing",100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Footwear,100,101.002,95.162,93.061,98.261,102.638,102.172,99.484,97.736,99.863,98.397,97.791,97.471,96.174,96.563,96.377,98.691,97.356,95.322,96.301,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Housing & Utilities,100,96.835,92.829,88.2,86.991,87.242,88.115,89.309,91.63,95.522,99.025,98.913,96.179,88.72,81.4,79.619,78.073,67.901,67.744,65.59,64.772,64.837,65.056,66.517,65.26,63.477,64.291,62.676,60.897,60.338,59.755,58.945,56.865,55.439,54.195,50.54,49.656,49.66,50.431,51.607,49.862,48.174,47.771,46.068,43.77,38.515,36.65,36.66,36.252,33.967,31.731,27.799,26.87,26.453,25.873,25.684,25.123,24.823,24.215,24.354,23.912,23.481,23.431,23.29
    Accommodation,100,97.099,92.891,89.114,87.847,87.506,88.336,91.129,94.921,98.368,101.005,100.654,96.728,88.817,81.2,80.468,76.363,66.887,65.829,65.358,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Actual Rentals For Housing,100,97.244,93.309,89.952,88.884,88.882,89.693,92.338,96.012,99.552,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Imputed Rentals For Housing,100,97.09,92.729,88.637,87.233,86.836,87.903,91.25,95.705,99.755,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Housing Maintenance & Repairs,100,97.025,93.809,92.221,91.891,91.659,90.445,88.551,86.68,84.788,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Utilities & Other Fuels,100,94.866,92.361,81.379,80.604,85.275,86.394,78.258,71.991,78.455,86.993,88.11,91.557,86.566,80.908,73.762,85.413,72.482,73.788,66.678,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Water Supply,100,94.102,93.149,93.149,93.149,93.149,87.179,75.882,70.555,70.555,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Refuse Collection,100,97.146,96.245,82.452,82.452,82.452,82.452,82.452,74.802,74.802,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Electricity,100,95.041,90.993,74.812,74.32,81.868,86.714,78.54,71.867,82.636,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Gas,100,94.573,95.923,87.469,82.584,85.717,85.683,81.654,75.859,79.318,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Household Durables & Services,100,99.289,97.418,95.57,94.168,93.88,93.174,92.487,91.524,89.865,90.448,88.888,84.69,82.685,77.637,76.836,75.959,74.302,74.043,74.506,76.953,77.577,77.944,78.593,78.899,79.343,79.414,79.259,79.387,78.904,75.23,74.562,73.303,71.564,70.925,68.391,67.228,66.303,65.841,65.647,65.082,64.994,64.471,63.181,60.762,57.122,54.668,53.483,52.301,52.724,50.088,38.954,33.604,33.266,32.945,32.357,32.506,31.865,29.967,28.03,27.364,27.298,27.867,27.829
    Furniture & Furnishings,100,98.972,96.966,93.532,91.6,91.354,90.917,90.938,91.478,90.411,89.481,88.179,87.131,86.408,86.558,86.658,85.825,83.349,83.689,84.965,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Household Textiles,100,100.129,98.578,98.416,99.557,100.101,101.726,103.326,104.928,106.39,104.271,103.751,101.886,102.418,102.957,101.752,102.814,103.415,107.399,106.837,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Household Appliances,100,100.302,99.754,97.112,95.063,95.763,97.082,98.076,99.985,99.867,99.95,99.464,100.2,101.348,101.308,101.603,102.703,101.21,101.402,100.13,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Major Household Appliances,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Small Household Appliances,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Repair & Installation Of Household Appliances,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"    Glassware, Tableware & Household Utensils",100,100.358,98.808,96.794,98.143,96.737,97.198,96.786,97.02,97.47,98.047,97.532,98.198,95.413,93.317,93.68,93.657,84.046,82.599,83.229,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Tools & Equipment For House & Garden,100,98.802,92.052,87.71,87.256,85.511,84.137,82.601,81.876,82.223,83.84,85.75,85.81,84.83,83.899,83.483,82.746,86.087,85.059,85.638,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Household Services & Supplies,100,99.026,96.955,95.786,94.413,93.919,92.559,91.249,89.142,86.64,87.816,85.961,80.475,77.854,71.186,70.12,68.898,67.542,66.856,67.429,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Non-Durable Household Goods,100,98.726,93.78,91.2,91.915,90.832,91.277,91.181,91.714,92.163,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Domestic Services & Household Services,100,99.166,97.614,96.66,94.964,94.556,92.907,91.4,88.867,85.888,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Insurance Nec,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Health,100,96.238,92.083,90.108,89.099,90.49,89.436,87.628,85.46,84.575,84.722,82.374,79.281,75.868,74.092,72.752,71.445,67.722,65.109,64.536,64.192,60.662,59.517,57.836,56.187,55.582,55.436,53.389,51.653,50.627,49.901,48.462,46.841,45.703,42.068,39.945,38.874,38.06,37.53,37.636,37.102,33.038,30.49,28.924,27.236,25.401,24.514,23.523,23.152,22.545,21.166,18.035,17.537,17.754,17.787,17.787,16.418,16.178,16.178,16.178,16.178,16.178,16.185,16.178
    Medicines & Health Products,100,98.464,97.089,95.82,95.84,97.22,98.043,98.009,98.248,98.625,98.116,97.151,94.77,92.066,89.621,88.416,88.324,83.576,80.317,78.832,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Medicines & Health Supplements,100,98.104,96.384,94.941,94.605,96.387,97.499,97.269,97.435,97.638,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Medical Products,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Assistive Products,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Outpatient Care Services,100,96.118,90.82,88.299,88.078,91.749,90.485,89.029,86.956,84.629,88.495,86.787,83.915,79.853,78.144,76.092,73.99,70.071,67.328,66.86,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Fees At Polyclinics,100,92.525,81.258,76.259,76.637,86.053,86.209,85.653,84.004,82.469,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Fees At General Practitioners (GP) Clinics,100,95.989,80.501,71.256,75.391,97.206,96.371,94.45,92.331,90.45,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Fees At Specialist Outpatient Clinics,100,96.728,94.125,93.406,92.902,93.054,90.943,89.194,87.241,84.744,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Outpatient Dental Services,100,96.264,90.379,87.222,85.268,89.577,89.573,88.269,87.037,85.742,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Outpatient Care Services Nec,100,95.32,90.895,88.035,87.532,86.821,85.664,85.477,81.795,77.651,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Inpatient Care Services,100,95.402,91.294,89.621,88.305,87.013,85.18,81.966,78.436,78.385,76.037,72.112,68.947,64.508,62.599,61.395,60.223,56.395,53.439,53.069,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Health Services,100,96.819,90.304,88.492,87.502,86.412,84.134,82.374,80.397,76.114,75.351,72.951,71.554,67.784,65.159,64.563,63.162,59.208,57.308,56.586,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Diagnostic Imaging Services & Medical Laboratory Services,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Patient Emergency Transportation Services & Emergency Rescue,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Health Insurance,100,95.164,91.845,90.092,85.888,85.88,85.832,85.457,84.094,83.662,83.703,81.66,76.451,76.422,75.996,75.709,74.616,74.396,74.662,74.662,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Transport,100,99.157,93.258,80.116,73.619,74.156,73.582,73.964,72.094,73.861,74.93,75.852,74.149,69.256,61.901,56.136,57.927,55.623,54.234,55.126,56.526,55.708,55.814,56.456,57.073,55.118,55.302,58.259,55.712,55.426,54.836,50.964,49.481,47.964,44.581,41.141,39.099,38.703,38.258,39.73,37.708,36.14,35.726,34.772,31.269,27.372,24.91,23.662,23.522,22.554,21.641,15.44,15.376,15.371,15.374,15.391,15.359,15.359,15.345,15.342,15.237,15.165,15.153,15.163
    Private Transport,100,99.989,92.47,77.598,69.651,70.611,70.374,70.792,67.915,70.044,71.6,73.051,71.111,66.046,57.459,50.559,52.378,50.679,49.698,51.571,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Motor Cars,100,101.05,90.52,72.753,63.622,62.993,62.457,65.718,65.725,69.174,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Motorcycles,100,107.5,107.29,94.39,78.998,65.866,80.611,81.524,81.572,78.869,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Bicycles,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Parts & Accessories For Personal Transport Equipment,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Petrol,100,97.147,101.027,84.983,72.206,77.903,77.837,72.974,66.891,69.61,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Fuel & Lubricants For Personal Transport Equipment,100.004,97.541,103.559,77.977,69.354,73.387,70.634,65.479,58.535,61.708,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Maintenance & Repair Of Personal Transport Equipment,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Services In Respect Of Personal Transport Equipment,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Insurance Connected With Transport,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Land Transport Services,100,93.637,90.632,84.604,83.135,80.655,78.706,79.536,81.306,81.386,79.748,78.156,77.872,74.302,73.587,73.813,74.773,70.794,68.218,66.026,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Bus & Train Fares,100,93.592,90.823,88.887,88.858,83.075,79.573,81.302,84.834,85.614,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Point-To-Point Transport Services,100,93.267,90.307,79.081,75.58,76.31,76.31,76.31,76.31,76.058,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Commuting Fares,100,94.545,90.255,89.224,89.664,89.809,89.352,88.246,86.032,82.862,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Land Transport Services,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Other Transport Services,100,102.955,106.069,94.044,90.366,93.247,92.588,91.257,91.259,93.445,96.457,95.61,93.874,93.449,89.304,85.921,96.819,86.956,84.713,85.365,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Airfares,100,103.032,105.859,94.677,90.977,94.16,93.464,92.066,92.126,94.36,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Seafares,100,98.762,114.399,63.623,63.897,63.623,63.653,64.393,62.28,61.738,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Travel Insurance,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Transport Services Of Goods,100,93.724,89.859,87.812,91.88,90.932,89.597,87.282,87.282,86.674,83.862,81.771,76.769,68.756,66.404,66.464,69.643,67.941,61.015,60.237,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Information & Communication,100,99.253,96.625,97.442,98.113,97.791,99.163,100.009,99.83,100.183,99.88,99.564,100.058,100.413,107.702,110.463,111.196,111.576,111.897,114.123,115.537,116.258,116.076,117.482,120.966,125.067,129.007,132.88,135.626,139.154,144.366,142.975,143.679,145.303,140.6,141.351,139.282,139.139,138.635,143.064,153.524,150.402,155.736,164.943,167.644,169.233,168.773,166.048,166.169,165.722,163.407,156.611,153.546,153.546,153.546,153.546,153.546,153.546,153.546,153.546,153.546,153.546,153.546,153.546
    Information & Communication Equipment,100,99.643,100.122,97.839,99.865,102.819,109.97,112.336,114.198,115.187,116.2,116.443,118.921,123.945,129.737,135.108,142.632,153.172,165.886,182.159,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Mobile Telephone Equipment,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Information Processing Equipment,100,96.667,97.401,98.802,101.695,103.074,103.767,103.903,104.584,105.489,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Equipment For The Reception, Recording & Reproduction Of Sound & Vision",100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Unrecorded Recording Media,100,85.144,86.611,84.15,94.607,89.608,114.852,118.282,116.732,118.081,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Information & Communication Equipment & Accessories Nec,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Software Excl Games,100,103.031,103.031,103.031,103.031,103.031,101.206,101.012,101.012,101.012,101.012,101.012,101.012,101.012,103.448,110.754,110.366,111.187,114.005,122.53,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Information & Communication Services,100,99.169,95.987,97.35,97.786,96.889,97.356,97.964,97.462,97.715,97.203,96.806,97.007,96.674,104.168,106.534,106.264,105.197,103.752,103.957,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Fixed Communication Services,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Mobile Communication Services,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Internet, Bundled & Other Telecommunication Services",100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Information & Communication Services Nec,100.001,98.412,94.97,93.023,96.311,94.097,95.032,93.969,95.067,92.567,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
